,county,Savings
1,1001,-100
2,1003,-148
3,1005,-133
4,1007,-96
5,1009,-72
6,1011,-149
7,1013,-101
8,1015,-134
9,1017,-114
10,1019,-115
11,1021,-101
12,1025,-96
13,1031,-97
14,1033,-151
15,1035,-80
16,1039,-139
17,1041,-127
18,1043,-78
19,1045,-127
20,1047,-91
21,1049,-101
22,1051,-92
23,1053,-97
24,1055,-139
25,1057,-92
26,1059,-135
27,1061,-95
28,1063,-61
29,1065,-76
30,1069,-89
31,1071,-113
32,1073,-79
33,1077,-117
34,1079,-145
35,1081,-102
36,1083,-108
37,1089,-90
38,1091,-78
39,1093,-98
40,1095,-97
41,1097,-89
42,1099,-105
43,1101,-97
44,1103,-124
45,1107,-104
46,1109,-133
47,1111,-121
48,1113,-104
49,1115,-84
50,1117,-79
51,1119,-63
52,1121,-111
53,1123,-109
54,1125,-67
55,1127,-96
56,1129,-93
57,1131,-72
58,1133,-103
59,2020,-158
60,2050,-96
61,2090,-164
62,2110,-207
63,2122,-165
64,2130,-139
65,2150,-237
66,2170,-225
67,2180,-141
68,2188,-200
69,2220,-184
70,2261,-207
71,4001,-154
72,4003,-126
73,4005,-94
74,4007,-200
75,4009,-130
76,4012,-190
77,4013,-67
78,4015,-255
79,4017,-140
80,4019,-67
81,4021,-77
82,4023,-128
83,4025,-149
84,4027,-81
85,5001,-49
86,5003,-74
87,5005,-98
88,5007,-82
89,5009,-122
90,5015,-73
91,5017,-84
92,5019,-65
93,5021,-85
94,5023,-69
95,5027,-172
96,5029,-70
97,5031,-61
98,5033,-72
99,5035,-58
100,5037,-83
101,5039,-62
102,5041,-88
103,5043,-76
104,5045,-52
105,5049,-93
106,5051,-82
107,5055,-82
108,5057,-79
109,5059,-73
110,5061,-106
111,5063,-81
112,5069,-56
113,5071,-88
114,5075,-61
115,5081,-118
116,5083,-74
117,5091,-114
118,5093,-71
119,5103,-100
120,5107,-80
121,5115,-87
122,5119,-42
123,5121,-67
124,5123,-141
125,5125,-56
126,5127,-98
127,5131,-61
128,5133,-79
129,5137,-79
130,5139,-128
131,5141,-57
132,5143,-75
133,5145,-79
134,5149,-73
135,6001,-124
136,6005,-194
137,6007,-301
138,6009,-166
139,6011,-261
140,6013,-102
141,6015,-236
142,6017,-232
143,6019,-98
144,6023,-306
145,6025,-76
146,6027,-176
147,6029,-64
148,6031,-113
149,6033,-216
150,6035,-134
151,6037,-160
152,6039,-86
153,6041,-107
154,6043,-69
155,6045,-118
156,6047,-114
157,6049,-194
158,6053,-86
159,6055,-219
160,6057,-68
161,6059,-129
162,6061,-153
163,6063,-129
164,6065,-129
165,6067,-167
166,6069,-157
167,6071,-136
168,6073,-93
169,6075,-164
170,6077,-146
171,6079,-74
172,6081,-142
173,6083,-77
174,6085,-150
175,6087,-162
176,6089,-109
177,6093,-180
178,6095,-188
179,6097,-129
180,6099,-188
181,6103,-219
182,6105,-135
183,6107,-125
184,6109,-217
185,6111,-166
186,6113,-189
187,6115,-163
188,8001,-99
189,8005,-87
190,8007,-73
191,8013,-80
192,8015,-150
193,8021,-148
194,8029,-130
195,8031,-85
196,8035,-88
197,8037,-197
198,8041,-56
199,8043,-130
200,8045,-171
201,8049,-124
202,8051,-105
203,8055,-100
204,8059,-69
205,8063,-143
206,8065,-177
207,8067,-80
208,8069,-80
209,8071,-178
210,8073,-134
211,8075,-217
212,8077,-77
213,8081,-218
214,8083,-97
215,8085,-119
216,8087,-253
217,8089,-152
218,8097,-169
219,8099,-194
220,8101,-116
221,8103,-149
222,8105,-137
223,8107,-158
224,8117,-120
225,8119,-61
226,8123,-135
227,8125,-194
228,9001,-131
229,9003,-111
230,9005,-109
231,9007,-89
232,9009,-113
233,9011,-95
234,9013,-133
235,9015,-125
236,10001,-72
237,10003,-76
238,10005,-100
239,11001,-95
240,12001,-89
241,12003,-67
242,12005,-141
243,12007,-83
244,12009,-71
245,12011,-82
246,12013,-121
247,12015,-81
248,12017,-59
249,12019,-87
250,12021,-67
251,12023,-65
252,12027,-70
253,12031,-69
254,12033,-64
255,12035,-120
256,12037,-91
257,12039,-108
258,12049,-90
259,12051,-86
260,12053,-81
261,12055,-144
262,12057,-74
263,12059,-77
264,12061,-86
265,12063,-107
266,12069,-100
267,12071,-61
268,12073,-99
269,12075,-80
270,12079,-115
271,12081,-63
272,12083,-68
273,12085,-73
274,12086,-98
275,12087,-227
276,12089,-94
277,12091,-216
278,12095,-65
279,12097,-86
280,12099,-61
281,12101,-72
282,12103,-60
283,12105,-108
284,12107,-78
285,12109,-67
286,12111,-113
287,12113,-84
288,12115,-63
289,12117,-68
290,12119,-64
291,12121,-75
292,12123,-138
293,12127,-93
294,12131,-199
295,12133,-87
296,13001,-105
297,13009,-126
298,13013,-125
299,13015,-89
300,13017,-139
301,13019,-77
302,13021,-91
303,13027,-101
304,13031,-260
305,13033,-101
306,13035,-104
307,13037,-184
308,13039,-93
309,13043,-198
310,13045,-87
311,13047,-108
312,13049,-79
313,13051,-48
314,13057,-80
315,13059,-166
316,13063,-57
317,13065,-95
318,13067,-69
319,13069,-83
320,13071,-150
321,13075,-121
322,13077,-87
323,13081,-128
324,13083,-98
325,13087,-170
326,13089,-78
327,13091,-91
328,13095,-186
329,13097,-61
330,13099,-122
331,13103,-78
332,13105,-151
333,13107,-162
334,13109,-175
335,13111,-148
336,13113,-55
337,13115,-90
338,13117,-129
339,13119,-132
340,13121,-78
341,13123,-128
342,13127,-73
343,13129,-114
344,13131,-137
345,13133,-146
346,13135,-68
347,13137,-94
348,13139,-79
349,13143,-99
350,13147,-146
351,13151,-57
352,13153,-183
353,13155,-146
354,13157,-118
355,13159,-56
356,13161,-132
357,13163,-95
358,13165,-148
359,13173,-76
360,13175,-111
361,13179,-62
362,13185,-88
363,13187,-83
364,13189,-91
365,13193,-165
366,13199,-135
367,13205,-180
368,13207,-91
369,13211,-89
370,13213,-100
371,13215,-114
372,13217,-62
373,13223,-72
374,13227,-67
375,13233,-69
376,13235,-117
377,13237,-155
378,13241,-149
379,13243,-178
380,13245,-93
381,13247,-65
382,13251,-237
383,13253,-185
384,13255,-78
385,13259,-135
386,13261,-223
387,13267,-161
388,13275,-143
389,13277,-90
390,13281,-74
391,13285,-172
392,13291,-137
393,13293,-126
394,13297,-83
395,13299,-113
396,13303,-98
397,13305,-114
398,13309,-155
399,13313,-115
400,13317,-102
401,13321,-179
402,15001,-86
403,15003,-118
404,15007,-150
405,15009,-139
406,16001,-100
407,16005,-83
408,16007,-140
409,16011,-114
410,16013,-146
411,16017,-90
412,16019,-93
413,16021,-111
414,16027,-127
415,16035,-117
416,16039,-106
417,16041,-99
418,16047,-153
419,16049,-118
420,16053,-145
421,16055,-74
422,16057,-111
423,16065,-95
424,16067,-108
425,16069,-93
426,16071,-134
427,16077,-92
428,16079,-94
429,16081,-151
430,16083,-132
431,16085,-112
432,16087,-148
433,17001,-160
434,17005,-110
435,17011,-202
436,17019,-238
437,17021,-152
438,17025,-160
439,17027,-143
440,17029,-148
441,17031,-155
442,17033,-215
443,17037,-155
444,17039,-136
445,17043,-136
446,17045,-269
447,17049,-165
448,17051,-143
449,17053,-307
450,17055,-242
451,17057,-185
452,17061,-102
453,17063,-188
454,17065,-247
455,17067,-183
456,17073,-83
457,17075,-99
458,17077,-233
459,17081,-238
460,17083,-89
461,17085,-134
462,17089,-114
463,17091,-87
464,17095,-160
465,17097,-155
466,17099,-207
467,17101,-181
468,17103,-217
469,17105,-194
470,17107,-145
471,17109,-221
472,17111,-195
473,17113,-156
474,17115,-113
475,17117,-108
476,17119,-88
477,17121,-162
478,17125,-135
479,17127,-124
480,17131,-70
481,17135,-190
482,17137,-173
483,17141,-128
484,17143,-133
485,17145,-193
486,17147,-190
487,17157,-117
488,17159,-205
489,17161,-53
490,17163,-77
491,17165,-164
492,17167,-172
493,17169,-297
494,17173,-145
495,17177,-197
496,17179,-131
497,17181,-206
498,17183,-164
499,17185,-174
500,17187,-182
501,17189,-106
502,17191,-175
503,17195,-190
504,17197,-169
505,17199,-253
506,17201,-100
507,17203,-131
508,18001,-172
509,18003,-169
510,18005,-188
511,18009,-157
512,18011,-193
513,18017,-178
514,18019,-74
515,18021,-246
516,18023,-212
517,18027,-176
518,18029,-106
519,18031,-192
520,18033,-184
521,18035,-150
522,18037,-163
523,18039,-126
524,18041,-179
525,18043,-73
526,18049,-187
527,18051,-176
528,18053,-160
529,18055,-154
530,18057,-149
531,18059,-190
532,18061,-89
533,18063,-200
534,18065,-163
535,18069,-143
536,18071,-206
537,18073,-128
538,18077,-169
539,18079,-225
540,18081,-189
541,18083,-160
542,18085,-168
543,18087,-176
544,18089,-155
545,18091,-207
546,18093,-233
547,18095,-212
548,18097,-191
549,18099,-132
550,18103,-220
551,18105,-115
552,18107,-148
553,18109,-208
554,18113,-203
555,18117,-188
556,18123,-140
557,18127,-135
558,18131,-186
559,18133,-198
560,18135,-193
561,18137,-164
562,18139,-193
563,18141,-87
564,18145,-212
565,18149,-210
566,18151,-197
567,18153,-236
568,18157,-200
569,18159,-203
570,18163,-173
571,18165,-221
572,18167,-242
573,18169,-184
574,18171,-187
575,18173,-172
576,18175,-91
577,18177,-201
578,18179,-176
579,18181,-155
580,18183,-170
581,19001,-134
582,19003,-200
583,19005,-180
584,19007,-245
585,19009,-217
586,19011,-169
587,19013,-112
588,19015,-174
589,19017,-140
590,19019,-140
591,19027,-209
592,19029,-224
593,19033,-138
594,19035,-169
595,19037,-212
596,19039,-129
597,19041,-204
598,19043,-174
599,19045,-211
600,19047,-185
601,19049,-119
602,19055,-158
603,19057,-236
604,19059,-215
605,19061,-78
606,19063,-214
607,19065,-138
608,19069,-154
609,19071,-144
610,19073,-197
611,19075,-122
612,19077,-146
613,19079,-174
614,19081,-176
615,19083,-155
616,19085,-177
617,19089,-222
618,19095,-214
619,19097,-110
620,19099,-168
621,19101,-176
622,19103,-192
623,19105,-165
624,19107,-199
625,19109,-153
626,19111,-176
627,19113,-171
628,19117,-115
629,19119,-222
630,19121,-117
631,19123,-199
632,19125,-151
633,19127,-151
634,19131,-147
635,19133,-174
636,19137,-153
637,19139,-145
638,19141,-196
639,19145,-180
640,19149,-171
641,19153,-120
642,19155,-150
643,19157,-265
644,19161,-163
645,19163,-63
646,19165,-157
647,19167,-193
648,19169,-172
649,19175,-183
650,19179,-146
651,19183,-193
652,19187,-139
653,19191,-177
654,19193,-156
655,19197,-204
656,20001,-154
657,20003,-138
658,20005,-113
659,20009,-154
660,20011,-150
661,20013,-137
662,20015,-111
663,20021,-150
664,20027,-131
665,20029,-101
666,20031,-109
667,20035,-110
668,20037,-171
669,20039,-110
670,20041,-190
671,20045,-138
672,20051,-112
673,20055,-153
674,20059,-120
675,20067,-277
676,20073,-170
677,20079,-83
678,20083,-171
679,20085,-56
680,20087,-106
681,20091,-92
682,20095,-69
683,20099,-120
684,20103,-103
685,20109,-168
686,20111,-140
687,20113,-94
688,20115,-115
689,20117,-105
690,20119,-196
691,20121,-104
692,20125,-122
693,20127,-98
694,20133,-200
695,20143,-121
696,20149,-148
697,20151,-202
698,20155,-78
699,20159,-66
700,20161,-127
701,20167,-107
702,20169,-132
703,20173,-67
704,20175,-270
705,20177,-50
706,20189,-193
707,20191,-83
708,20193,-144
709,20205,-132
710,20209,-88
711,21001,-130
712,21003,-180
713,21009,-182
714,21013,-107
715,21015,-61
716,21017,-90
717,21019,-253
718,21021,-79
719,21027,-104
720,21033,-131
721,21035,-159
722,21037,-64
723,21041,-136
724,21045,-127
725,21047,-125
726,21049,-75
727,21051,-104
728,21053,-109
729,21055,-128
730,21059,-81
731,21065,-92
732,21067,-75
733,21069,-111
734,21071,-113
735,21075,-94
736,21081,-71
737,21083,-109
738,21085,-106
739,21087,-117
740,21093,-97
741,21095,-165
742,21097,-120
743,21099,-118
744,21101,-105
745,21107,-109
746,21111,-81
747,21115,-159
748,21117,-62
749,21121,-99
750,21125,-107
751,21127,-284
752,21131,-147
753,21133,-161
754,21137,-96
755,21139,-111
756,21141,-181
757,21145,-95
758,21151,-85
759,21155,-112
760,21157,-92
761,21161,-104
762,21167,-101
763,21171,-169
764,21173,-84
765,21175,-111
766,21177,-88
767,21179,-100
768,21181,-139
769,21183,-93
770,21185,-92
771,21187,-124
772,21193,-177
773,21195,-141
774,21199,-165
775,21203,-61
776,21205,-194
777,21207,-134
778,21211,-106
779,21213,-171
780,21221,-90
781,21225,-142
782,21227,-164
783,21231,-127
784,21235,-104
785,21239,-149
786,22001,-74
787,22003,-113
788,22005,-80
789,22007,-55
790,22009,-166
791,22011,-121
792,22013,-78
793,22015,-73
794,22017,-74
795,22019,-96
796,22021,-78
797,22027,-68
798,22029,-78
799,22031,-94
800,22033,-78
801,22035,-70
802,22037,-78
803,22039,-114
804,22041,-69
805,22045,-74
806,22047,-74
807,22049,-76
808,22051,-77
809,22053,-108
810,22055,-68
811,22057,-71
812,22059,-129
813,22061,-69
814,22063,-94
815,22065,-98
816,22067,-83
817,22069,-74
818,22071,-85
819,22073,-69
820,22077,-72
821,22079,-159
822,22081,-82
823,22083,-71
824,22085,-103
825,22089,-87
826,22091,-96
827,22093,-72
828,22095,-90
829,22097,-99
830,22099,-73
831,22101,-84
832,22103,-98
833,22105,-112
834,22109,-86
835,22111,-65
836,22113,-61
837,22115,-149
838,22117,-82
839,22119,-80
840,22123,-87
841,22125,-72
842,22127,-100
843,23001,-132
844,23003,-154
845,23005,-78
846,23007,-132
847,23009,-209
848,23011,-138
849,23013,-133
850,23015,-157
851,23017,-122
852,23019,-200
853,23021,-211
854,23025,-130
855,23027,-143
856,23029,-205
857,23031,-160
858,24001,-78
859,24003,-48
860,24005,-55
861,24009,-71
862,24013,-58
863,24015,-79
864,24017,-55
865,24019,-111
866,24021,-62
867,24023,-99
868,24025,-45
869,24027,-49
870,24029,-86
871,24031,-71
872,24033,-72
873,24037,-50
874,24039,-76
875,24041,-96
876,24043,-68
877,24045,-54
878,24047,-84
879,24510,-68
880,25001,-98
881,25003,-154
882,25005,-88
883,25007,-263
884,25009,-116
885,25011,-115
886,25013,-92
887,25015,-101
888,25017,-107
889,25019,-123
890,25021,-108
891,25023,-82
892,25025,-131
893,25027,-106
894,26003,-213
895,26005,-137
896,26011,-94
897,26015,-103
898,26017,-121
899,26019,-98
900,26021,-95
901,26023,-168
902,26025,-130
903,26027,-112
904,26029,-136
905,26031,-104
906,26033,-157
907,26037,-130
908,26039,-93
909,26041,-240
910,26043,-165
911,26045,-119
912,26047,-109
913,26049,-109
914,26051,-73
915,26053,-142
916,26055,-81
917,26057,-108
918,26059,-155
919,26061,-169
920,26063,-173
921,26065,-134
922,26067,-110
923,26069,-96
924,26071,-217
925,26073,-120
926,26075,-151
927,26077,-97
928,26079,-86
929,26081,-85
930,26087,-95
931,26091,-130
932,26093,-136
933,26099,-100
934,26101,-129
935,26103,-162
936,26105,-166
937,26107,-116
938,26111,-67
939,26115,-113
940,26117,-135
941,26121,-135
942,26123,-141
943,26125,-107
944,26127,-134
945,26129,-97
946,26131,-176
947,26133,-150
948,26137,-102
949,26139,-114
950,26141,-155
951,26145,-94
952,26147,-104
953,26149,-117
954,26151,-117
955,26153,-180
956,26155,-140
957,26157,-101
958,26159,-112
959,26161,-129
960,26163,-155
961,26165,-105
962,27001,-189
963,27003,-95
964,27005,-135
965,27013,-184
966,27015,-203
967,27017,-210
968,27019,-106
969,27021,-157
970,27023,-171
971,27025,-140
972,27033,-199
973,27035,-166
974,27037,-86
975,27041,-148
976,27047,-158
977,27049,-159
978,27053,-94
979,27057,-179
980,27059,-124
981,27061,-204
982,27063,-221
983,27065,-149
984,27067,-124
985,27071,-192
986,27079,-140
987,27083,-178
988,27085,-149
989,27089,-130
990,27091,-105
991,27093,-144
992,27095,-135
993,27097,-134
994,27103,-198
995,27107,-132
996,27109,-176
997,27111,-140
998,27115,-153
999,27119,-82
1000,27121,-139
1001,27123,-77
1002,27129,-164
1003,27131,-130
1004,27137,-178
1005,27139,-99
1006,27141,-116
1007,27143,-198
1008,27145,-123
1009,27147,-208
1010,27151,-164
1011,27153,-137
1012,27157,-156
1013,27159,-185
1014,27161,-182
1015,27163,-85
1016,27165,-201
1017,27169,-235
1018,27171,-114
1019,27173,-164
1020,28003,-106
1021,28007,-69
1022,28011,-164
1023,28013,-135
1024,28017,-117
1025,28019,-106
1026,28021,-96
1027,28023,-72
1028,28025,-126
1029,28027,-136
1030,28029,-75
1031,28031,-51
1032,28033,-58
1033,28035,-53
1034,28037,-93
1035,28041,-71
1036,28043,-111
1037,28045,-85
1038,28047,-111
1039,28049,-71
1040,28051,-69
1041,28059,-67
1042,28061,-57
1043,28063,-94
1044,28065,-62
1045,28067,-51
1046,28071,-128
1047,28073,-53
1048,28075,-80
1049,28077,-65
1050,28081,-97
1051,28083,-142
1052,28085,-112
1053,28087,-116
1054,28089,-53
1055,28091,-53
1056,28093,-63
1057,28095,-162
1058,28099,-67
1059,28101,-68
1060,28105,-114
1061,28107,-127
1062,28109,-80
1063,28113,-119
1064,28115,-87
1065,28117,-118
1066,28119,-118
1067,28121,-60
1068,28123,-65
1069,28127,-62
1070,28131,-96
1071,28133,-121
1072,28137,-62
1073,28139,-117
1074,28141,-106
1075,28145,-127
1076,28147,-68
1077,28149,-96
1078,28151,-137
1079,28153,-58
1080,28155,-97
1081,28157,-70
1082,28159,-82
1083,28161,-134
1084,28163,-75
1085,29001,-198
1086,29005,-142
1087,29009,-148
1088,29011,-135
1089,29013,-125
1090,29019,-71
1091,29021,-154
1092,29023,-137
1093,29027,-75
1094,29029,-124
1095,29031,-139
1096,29033,-122
1097,29037,-110
1098,29039,-148
1099,29047,-83
1100,29049,-101
1101,29051,-86
1102,29053,-106
1103,29065,-184
1104,29069,-132
1105,29071,-86
1106,29073,-108
1107,29077,-151
1108,29079,-113
1109,29083,-139
1110,29091,-157
1111,29093,-93
1112,29095,-107
1113,29097,-119
1114,29099,-92
1115,29101,-111
1116,29105,-176
1117,29107,-122
1118,29109,-158
1119,29113,-99
1120,29117,-125
1121,29121,-149
1122,29123,-89
1123,29127,-137
1124,29145,-128
1125,29147,-177
1126,29155,-148
1127,29157,-97
1128,29159,-98
1129,29161,-170
1130,29163,-129
1131,29165,-91
1132,29167,-146
1133,29169,-202
1134,29171,-186
1135,29175,-133
1136,29177,-86
1137,29179,-136
1138,29181,-165
1139,29183,-93
1140,29185,-165
1141,29186,-88
1142,29187,-101
1143,29189,-86
